resource,category,figures,year,quarter,date_published,date_processed,filename
crude oil & ngls,import,15936.11,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1299.87,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,24548.13,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,23968.83,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,579.3,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,-744.24,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-305.05,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,21166.01,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,256.14,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,20909.86,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,20909.86,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,20909.86,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2002,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,26481.83,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,24534.03,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,1947.79,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,13317.76,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,11743.78,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1573.99,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,18303.46,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,17690.09,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,613.37,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,708.02,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-453.17,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,21750.98,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,-61.22,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,21812.2,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,21812.2,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,21812.2,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2002,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,30282.55,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,27945.39,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2337.16,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,12466.56,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,11270.34,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1196.22,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,21827.07,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,21294.69,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,532.38,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,-210.33,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-369.78,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,20341.92,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,-584.31,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,20926.24,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,20926.24,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,20926.24,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2002,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,28679.69,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,26339.36,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2340.33,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,13604.71,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,12247.22,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1357.49,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,20280.84,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,19719.96,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,560.88,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,-370.67,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-307.76,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,21325.13,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,-136.12,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,21461.25,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,21461.25,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,21461.25,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2003,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,26025.5,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,23968.4,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2057.1,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,12997.09,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,11393.84,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1603.25,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,17415.24,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,16785.91,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,629.33,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,771.85,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-322.44,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,22056.77,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,324.75,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,21732.01,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,21732.01,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,21732.01,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2003,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,24957.81,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,23103.24,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,1854.57,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,14235.32,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,12883.1,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1352.22,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,18839.42,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,18151.69,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,687.73,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,358.14,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-51.82,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,20660.02,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,99.6,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,20560.42,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,20560.42,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,20560.42,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2003,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,26409.93,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,24423.92,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,1986.01,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,13340.21,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,12064.76,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1275.45,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,18362.26,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,17868.63,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,493.63,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,-290.11,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-325.61,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,20772.16,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,-59.17,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,20831.33,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,20831.33,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,20831.33,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2003,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,25434.13,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,23314.6,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2119.53,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,14963.47,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,13357.12,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1606.35,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,17758.24,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,17373.73,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,384.51,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,-381.21,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-984.33,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,21273.83,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,-140.4,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,21414.23,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,21414.23,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,21414.23,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2004,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,24345.24,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,22319.4,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2025.84,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,15665.53,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,14064.01,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1601.52,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,16618.97,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,16387.45,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,231.53,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,-335.41,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-870.85,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,22185.54,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,-31.04,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,22216.58,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,22216.58,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,22216.58,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2004,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,22078.37,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,20375.6,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,1702.77,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,16439.68,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,14445.68,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1994.0,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,15075.18,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,14793.61,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,281.57,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,254.59,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-759.17,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,22938.29,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,-67.43,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,23005.72,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,23005.72,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,23005.72,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2004,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,23516.04,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,21506.6,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2009.44,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,15447.55,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,13990.72,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1456.84,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,15051.62,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,14858.07,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,193.56,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,328.76,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-928.76,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,23311.98,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,127.91,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,23184.06,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,23184.06,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,23184.06,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2004,4,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,22714.08,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,20545.93,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,2168.15,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,13693.84,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,12468.67,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1225.16,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,14553.09,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,14045.36,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,507.73,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,-329.36,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-637.18,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,20888.28,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,-90.0,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,20978.29,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,20978.29,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,20978.29,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2005,1,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,21989.98,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,20071.16,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,1918.81,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,15796.26,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,13896.03,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1900.23,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,15342.83,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,15036.48,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,306.35,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
stock change,other,-376.13,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transfers,other,-866.16,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total supply,other,21201.12,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
statistical difference,other,202.92,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
total demand,other,20998.2,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
transformation,other,20998.2,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
petroleum refineries,other,20998.2,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
energy industry use,other,0.0,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
oil & gas extraction,other,0.0,2005,2,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
indigenous production,production,19307.51,2005,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil,production,17662.68,2005,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
ngls,production,1644.83,2005,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,production,0.0,2005,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
imports,import,15551.58,2005,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,import,13655.79,2005,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,import,1895.79,2005,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
exports,export,11405.72,2005,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
crude oil & ngls,export,10901.45,2005,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
feedstocks,export,504.27,2005,3,2024-07-30,2024-09-25 05:46:39,ET_3.1_JUL_24.xlsx
